joint_0,joint_1,joint_2,joint_3,joint_4,joint_5,joint_6,joint_7,joint_8,joint_9,joint_10,joint_11,joint_12,joint_13,joint_14,joint_15,joint_16,joint_17,joint_18,joint_19,joint_20,joint_21,joint_22,joint_23,joint_24,joint_25,joint_26,joint_27,joint_28
0.162370,0.115310,-0.058516,0.202134,0.087534,0.006621,0.510556,0.100023,-0.025440,0.134558,0.067916,-1.029990,-0.753723,-0.384922,-0.157714,0.376058,-0.415828,0.032590,0.127186,-0.276106,0.562378,-0.405859,-0.668569,-0.381014,0.900619,-0.312351,-0.269477,0.764213,-0.462249
0.160498,0.113392,-0.057342,0.200906,0.086071,0.006719,0.510450,0.097808,-0.026234,0.133302,0.067852,-1.019490,-0.748665,-0.384687,-0.159540,0.378117,-0.418106,0.034781,0.124787,-0.275574,0.560861,-0.405146,-0.665967,-0.376142,0.891912,-0.310628,-0.266676,0.762308,-0.462109
0.158435,0.111142,-0.056129,0.199669,0.084524,0.007004,0.510161,0.095317,-0.027621,0.132279,0.068311,-1.009092,-0.743684,-0.384443,-0.161578,0.380752,-0.420395,0.036822,0.122491,-0.275256,0.559365,-0.404419,-0.663812,-0.369410,0.882134,-0.308448,-0.263482,0.760465,-0.461547
0.155001,0.107894,-0.055450,0.198266,0.083736,0.006938,0.505705,0.093840,-0.030925,0.132181,0.069800,-0.999862,-0.739608,-0.383890,-0.162259,0.383307,-0.423230,0.038628,0.119785,-0.275086,0.557812,-0.404818,-0.662402,-0.358783,0.868238,-0.305252,-0.258683,0.759304,-0.461321
0.151254,0.104821,-0.054688,0.196919,0.082775,0.007042,0.500947,0.091731,-0.034124,0.132021,0.070675,-0.990378,-0.735676,-0.383274,-0.163297,0.385694,-0.426134,0.040493,0.116774,-0.275041,0.555765,-0.404762,-0.661496,-0.348916,0.853689,-0.302303,-0.254698,0.757691,-0.461922
0.146882,0.102098,-0.053757,0.195686,0.081464,0.007489,0.495587,0.088355,-0.037110,0.131737,0.070320,-0.980383,-0.732034,-0.382530,-0.165048,0.387748,-0.429172,0.042478,0.113152,-0.275247,0.552731,-0.403798,-0.661595,-0.340568,0.837838,-0.299845,-0.252339,0.755173,-0.464176
0.142821,0.098607,-0.052524,0.192779,0.078871,0.007387,0.489912,0.084044,-0.040330,0.129812,0.071228,-0.970065,-0.726979,-0.380459,-0.167474,0.391221,-0.433971,0.043558,0.109850,-0.275745,0.549033,-0.404670,-0.660685,-0.332266,0.821411,-0.297589,-0.250822,0.751400,-0.467864
0.138915,0.094732,-0.051141,0.189036,0.075636,0.007010,0.484078,0.079266,-0.043667,0.127065,0.072769,-0.959584,-0.721216,-0.377724,-0.170239,0.395404,-0.439650,0.044184,0.106709,-0.276389,0.545003,-0.406461,-0.659271,-0.323986,0.804698,-0.295435,-0.249728,0.747000,-0.472268
0.134258,0.091327,-0.047833,0.184816,0.072145,0.007260,0.476039,0.071876,-0.045234,0.122113,0.071526,-0.944548,-0.712870,-0.375204,-0.171463,0.400826,-0.445241,0.044941,0.103235,-0.279941,0.541092,-0.407964,-0.658362,-0.323609,0.798032,-0.293207,-0.252367,0.728628,-0.476367
0.129576,0.089067,-0.044773,0.180605,0.068703,0.007495,0.467065,0.063409,-0.046664,0.116925,0.068935,-0.927692,-0.703990,-0.372827,-0.172864,0.406287,-0.452164,0.045453,0.099021,-0.283655,0.535965,-0.409492,-0.656458,-0.324957,0.788135,-0.291980,-0.255502,0.707207,-0.479503
0.124844,0.089099,-0.042207,0.176409,0.065360,0.007700,0.456220,0.052789,-0.047818,0.111266,0.063651,-0.907195,-0.694040,-0.370739,-0.174620,0.411826,-0.461753,0.045475,0.093324,-0.287692,0.528403,-0.411068,-0.652564,-0.329756,0.771778,-0.292754,-0.259630,0.679686,-0.480714
0.121464,0.089127,-0.040283,0.170557,0.062106,0.007780,0.446927,0.047473,-0.048196,0.104685,0.058933,-0.883759,-0.679227,-0.366328,-0.175566,0.415537,-0.470141,0.047233,0.086123,-0.291017,0.518867,-0.411158,-0.642128,-0.331246,0.754200,-0.294893,-0.262707,0.659579,-0.476396
0.118760,0.089154,-0.038680,0.163876,0.058898,0.007798,0.438409,0.044810,-0.048187,0.097642,0.054498,-0.858855,-0.661983,-0.360756,-0.176107,0.418334,-0.477927,0.049860,0.078169,-0.293986,0.508342,-0.410504,-0.628420,-0.331081,0.736012,-0.297714,-0.265259,0.643179,-0.469315
0.115253,0.088360,-0.035478,0.155913,0.054581,0.006694,0.431882,0.032753,-0.047125,0.088631,0.048379,-0.825198,-0.638887,-0.356278,-0.173879,0.422661,-0.488322,0.054054,0.069798,-0.294831,0.493649,-0.407058,-0.614191,-0.330638,0.711863,-0.301577,-0.270067,0.616678,-0.462814
0.112072,0.087966,-0.032623,0.148085,0.050150,0.005951,0.424492,0.019653,-0.044217,0.080133,0.042661,-0.789252,-0.610919,-0.352591,-0.172525,0.427272,-0.498932,0.057960,0.061101,-0.296025,0.478021,-0.402118,-0.598862,-0.330597,0.693276,-0.304226,-0.274240,0.588555,-0.454238
0.109546,0.088374,-0.030461,0.140526,0.045492,0.005930,0.415376,0.004468,-0.037618,0.072660,0.037748,-0.748729,-0.573204,-0.350489,-0.172918,0.432451,-0.509977,0.061289,0.051752,-0.297914,0.460523,-0.394188,-0.581331,-0.331361,0.685812,-0.304450,-0.277143,0.557187,-0.441513
0.106349,0.089104,-0.028183,0.132716,0.041395,0.005608,0.405913,-0.010198,-0.031698,0.065992,0.031870,-0.703988,-0.531329,-0.347830,-0.172597,0.435037,-0.517786,0.066539,0.041680,-0.298753,0.438949,-0.383286,-0.559246,-0.332251,0.668698,-0.307167,-0.278353,0.529468,-0.422982
0.102818,0.089996,-0.025849,0.124782,0.037577,0.005134,0.396277,-0.024604,-0.026117,0.059727,0.025509,-0.657140,-0.487374,-0.344892,-0.171917,0.436326,-0.523979,0.072748,0.031247,-0.299066,0.415337,-0.370898,-0.534883,-0.333204,0.646760,-0.311130,-0.278717,0.503573,-0.401548
0.099152,0.092413,-0.019545,0.116172,0.032917,0.002663,0.385503,-0.042712,-0.021254,0.054525,0.017430,-0.597771,-0.425743,-0.341831,-0.167536,0.434730,-0.524764,0.078602,0.020704,-0.304828,0.390571,-0.342106,-0.495798,-0.326970,0.633863,-0.311338,-0.280425,0.468053,-0.379244
0.094425,0.095058,-0.013968,0.107658,0.029043,0.000839,0.371204,-0.060876,-0.015932,0.050014,0.009082,-0.538007,-0.361901,-0.338773,-0.163661,0.432088,-0.523103,0.084262,0.010644,-0.312416,0.367189,-0.305197,-0.450519,-0.323000,0.622068,-0.309864,-0.282144,0.433128,-0.362736
0.087576,0.098160,-0.009845,0.099334,0.026741,0.000313,0.349855,-0.079152,-0.009694,0.046884,0.000194,-0.477454,-0.293636,-0.335718,-0.160797,0.427354,-0.516550,0.089534,0.001549,-0.323654,0.346574,-0.252058,-0.392852,-0.323558,0.612479,-0.305026,-0.283884,0.399392,-0.357821
0.083459,0.100965,-0.006022,0.090862,0.024687,0.000069,0.329127,-0.095722,-0.004410,0.042544,-0.006908,-0.415055,-0.231384,-0.331007,-0.157693,0.418710,-0.503075,0.093464,-0.005163,-0.337805,0.332169,-0.180023,-0.322870,-0.328718,0.608693,-0.296101,-0.281226,0.362513,-0.337611
0.080708,0.103621,-0.002349,0.082315,0.022758,-0.000035,0.308711,-0.111439,0.000398,0.037598,-0.013117,-0.351734,-0.172140,-0.325470,-0.154469,0.408110,-0.486140,0.096724,-0.010684,-0.353411,0.320869,-0.098539,-0.246730,-0.336179,0.607807,-0.285131,-0.276369,0.324061,-0.309754
