joint_0_vel,joint_1_vel,joint_2_vel,joint_3_vel,joint_4_vel,joint_5_vel,joint_6_vel,joint_7_vel,joint_8_vel,joint_9_vel,joint_10_vel,joint_11_vel,joint_12_vel,joint_13_vel,joint_14_vel,joint_15_vel,joint_16_vel,joint_17_vel,joint_18_vel,joint_19_vel,joint_20_vel,joint_21_vel,joint_22_vel,joint_23_vel,joint_24_vel,joint_25_vel,joint_26_vel,joint_27_vel,joint_28_vel
-0.159011,-0.019677,0.142774,-0.391406,-0.221532,-0.037146,-0.369498,-0.654977,0.145387,-0.424900,-0.285858,1.797284,1.398427,0.184320,0.067713,0.230538,-0.530542,0.195303,-0.434861,-0.059679,-0.781409,0.247030,0.766482,0.002034,-0.929359,-0.132477,-0.208646,-1.406167,0.428806
-0.126338,0.020377,0.108112,-0.377971,-0.232905,-0.001039,-0.455824,-0.759251,0.329965,-0.373662,-0.245656,2.026184,1.885716,0.105086,-0.019674,0.258967,-0.552204,0.166474,-0.467482,-0.094464,-0.874917,0.396497,0.876546,-0.038183,-0.373235,-0.011174,-0.145142,-1.568393,0.636232
-0.159820,0.036521,0.113856,-0.390468,-0.204876,-0.016116,-0.473143,-0.733303,0.296011,-0.333402,-0.293918,2.237004,2.093754,0.132976,0.016090,0.129287,-0.390493,0.262467,-0.503594,-0.041926,-1.078702,0.545084,1.104269,-0.044498,-0.855672,-0.135842,-0.060513,-1.385953,0.926539
-0.176561,0.044592,0.116728,-0.396717,-0.190861,-0.023655,-0.481803,-0.720329,0.279035,-0.313272,-0.318049,2.342414,2.197773,0.146922,0.033972,0.064447,-0.309638,0.310463,-0.521651,-0.015657,-1.180595,0.619377,1.218131,-0.047656,-1.096891,-0.198176,-0.018198,-1.294733,1.071693
-0.183313,0.120832,0.315191,-0.430471,-0.233005,-0.123593,-0.538694,-0.905397,0.243187,-0.260102,-0.403928,2.968460,3.081548,0.153002,0.219054,-0.079807,-0.039257,0.292715,-0.527134,-0.288118,-1.238270,1.439645,1.954268,0.311708,-0.644867,-0.010383,-0.085393,-1.775992,1.115227
-0.236357,0.132258,0.278842,-0.425715,-0.193708,-0.091160,-0.714950,-0.908194,0.266085,-0.225558,-0.417417,2.988194,3.192115,0.152922,0.193772,-0.132099,0.083051,0.282999,-0.503000,-0.379386,-1.169103,1.845415,2.263947,0.198506,-0.589729,0.073701,-0.085934,-1.746261,0.825395
-0.342445,0.155112,0.206145,-0.416201,-0.115114,-0.026295,-1.067462,-0.913788,0.311882,-0.156472,-0.444394,3.027661,3.413250,0.152761,0.143209,-0.236683,0.327666,0.263569,-0.454734,-0.561923,-1.030769,2.656954,2.883305,-0.027899,-0.479452,0.241869,-0.087016,-1.686799,0.245732
-0.205844,0.140234,0.191144,-0.423630,-0.102689,-0.012231,-1.036369,-0.828496,0.264210,-0.217012,-0.355105,3.119925,3.112564,0.235518,0.155187,-0.432217,0.673724,0.196510,-0.335618,-0.707523,-0.720246,3.601778,3.499115,-0.258011,-0.189341,0.446283,0.132897,-1.843975,1.010495
-0.137543,0.132794,0.183644,-0.427344,-0.096477,-0.005198,-1.020823,-0.785850,0.240375,-0.247282,-0.310460,3.166057,2.962222,0.276896,0.161176,-0.529984,0.846754,0.162980,-0.276060,-0.780323,-0.564985,4.074191,3.807020,-0.373067,-0.044285,0.548489,0.242854,-1.922564,1.392876
-0.265462,0.076952,0.122451,-0.280156,0.053387,0.118504,-1.232915,-0.668183,0.024027,0.055738,-0.270403,2.396405,2.006794,0.148648,0.226300,-0.628763,1.055828,0.124161,-0.169517,-0.914184,-0.172099,4.994918,4.856652,0.454655,-0.815274,0.767733,0.400288,-1.423058,0.516543
