body_0_vel_x,body_0_vel_y,body_0_vel_z
-0.090352,-0.050492,-0.034563
-0.070163,-0.035266,-0.030065
-0.029787,-0.004813,-0.021068
-0.062323,-0.037587,-0.026711
-0.078591,-0.053974,-0.029533
-0.053167,-0.019905,-0.085967
-0.042536,-0.022531,-0.066984
-0.021275,-0.027784,-0.029020
-0.061499,-0.055533,-0.085016
-0.081611,-0.069407,-0.113014
0.014415,0.005042,-0.046883
0.005283,-0.023095,-0.069569
-0.012982,-0.079369,-0.114942
0.069951,-0.017416,-0.078721
0.111417,0.013560,-0.060611
0.089528,-0.089638,-0.105091
0.124046,-0.074899,-0.083145
0.193083,-0.045420,-0.039255
0.228673,-0.058123,-0.079890
0.246469,-0.064474,-0.100207
0.315986,-0.081392,-0.022826
0.324398,-0.054944,-0.036662
0.341221,-0.002047,-0.064335
0.368967,0.068092,-0.099919
0.382840,0.103161,-0.117711
0.431351,0.199328,-0.194719
0.371025,0.213918,-0.202515
0.250373,0.243098,-0.218107
0.210422,0.209173,-0.207289
0.190446,0.192211,-0.201881
0.077864,0.129272,-0.104481
0.073606,0.093831,-0.084478
0.065088,0.022949,-0.044471
-0.053571,-0.149278,0.018948
-0.112901,-0.235392,0.050658
-0.178191,-0.130378,0.143543
-0.166164,-0.181903,0.159178
-0.142110,-0.284952,0.190448
-0.119329,-0.194320,0.220840
-0.107939,-0.149004,0.236036
-0.107663,-0.077121,0.242307
-0.062270,-0.047871,0.222731
0.028516,0.010628,0.183578
0.054139,0.086301,0.166117
0.066950,0.124138,0.157387
0.124348,0.144962,0.098280
0.135593,0.139893,0.088338
0.158083,0.129755,0.068455
0.200326,0.138490,0.083719
0.221448,0.142858,0.091351
0.216308,0.092819,0.002707
0.205248,0.083560,0.015353
0.183129,0.065043,0.040644
0.205258,0.061436,0.054442
0.216323,0.059633,0.061340
0.142623,-0.027496,-0.014729
0.148867,-0.015432,0.017699
0.161355,0.008696,0.082555
0.145311,-0.013882,0.005896
0.137289,-0.025171,-0.032433
0.155725,-0.032408,0.052877
0.167210,-0.032183,0.038038
0.190181,-0.031734,0.008360
0.152451,-0.020200,-0.012917
0.133585,-0.014432,-0.023555
0.154916,-0.040767,0.036861
0.148834,-0.020300,0.011033
0.136671,0.020634,-0.040623
0.112588,-0.010581,0.006993
0.100547,-0.026189,0.030801
0.125796,0.039269,-0.035094
0.107557,0.022882,-0.013899
0.071079,-0.009894,0.028492
0.102906,0.017287,-0.018874
0.118820,0.030878,-0.042558
0.093755,0.010135,0.029540
0.099504,0.016316,0.001147
0.111002,0.028677,-0.055640
0.106196,0.021577,0.008762
0.103793,0.018027,0.040963
0.134593,0.025821,-0.051084
0.119199,0.022207,-0.019885
0.088412,0.014978,0.042511
0.141230,0.031142,0.008852
0.167639,0.039225,-0.007977
0.143282,0.011074,-0.010641
0.133476,0.026750,-0.008611
0.113865,0.058103,-0.004551
0.151237,0.039721,-0.003374
0.169923,0.030531,-0.002786
0.137292,0.093882,-0.019426
0.140917,0.067901,-0.013630
0.148167,0.015938,-0.002037
0.145678,0.067689,-0.003073
0.144434,0.093564,-0.003591
0.135124,0.016056,-0.032739
0.123264,0.035505,-0.013353
0.099544,0.074402,0.025420
0.123267,0.012294,-0.000234
0.135128,-0.018760,-0.013061
0.053547,0.030730,0.027242
0.056236,-0.000777,0.016870
0.061612,-0.063790,-0.003875
0.064174,-0.019924,-0.006024
0.065455,0.002009,-0.007099
0.081729,-0.077642,0.018377
0.097362,-0.051205,0.015683
0.128626,0.001669,0.010294
0.113630,-0.042125,0.034693
0.106132,-0.064022,0.046892
0.203629,0.003889,0.033091
0.173927,-0.009376,0.042670
0.114524,-0.035904,0.061827
0.160378,-0.016359,0.054609
0.183305,-0.006586,0.051000
0.106041,-0.047253,0.033683
0.137102,-0.039938,0.050875
0.199223,-0.025309,0.085258
0.168225,-0.048109,0.043406
0.152727,-0.059509,0.022480
0.248354,-0.058072,0.063652
0.218921,-0.054704,0.053595
0.160053,-0.047970,0.033481
0.208786,-0.055748,0.015026
0.233153,-0.059638,0.005799
0.170839,-0.018255,0.031793
0.191470,-0.038055,0.013669
0.232731,-0.077655,-0.022581
0.208903,-0.052973,0.020921
0.196989,-0.040632,0.042672
0.163046,-0.069152,-0.031958
0.187236,-0.074151,-0.009515
0.235616,-0.084149,0.035371
0.182516,-0.066519,0.004796
0.155966,-0.057704,-0.010491
0.205348,-0.131217,0.009781
0.201145,-0.102335,0.005525
0.192737,-0.044569,-0.002988
0.184291,-0.118597,-0.012799
0.180068,-0.155611,-0.017704
0.237939,-0.078074,-0.017862
0.207955,-0.103300,-0.019665
0.147987,-0.153753,-0.023271
0.230021,-0.125263,-0.012985
0.271037,-0.111019,-0.007843
0.093616,-0.157143,-0.051330
0.137622,-0.158188,-0.032480
0.225633,-0.160279,0.005221
0.172958,-0.156662,-0.041326
0.146620,-0.154853,-0.064600
0.152241,-0.181357,0.005304
0.167077,-0.178105,-0.017136
0.196750,-0.171599,-0.062016
0.146474,-0.187757,-0.030504
0.121335,-0.195836,-0.014749
0.228599,-0.178908,-0.053160
0.188982,-0.177754,-0.055530
0.109748,-0.175445,-0.060271
0.179662,-0.192705,-0.050082
0.214619,-0.201335,-0.044988
0.128687,-0.135880,-0.079127
0.150243,-0.154918,-0.064620
0.193354,-0.192995,-0.035605
0.159408,-0.144175,-0.075079
0.142435,-0.119765,-0.094816
0.185978,-0.176943,-0.028966
0.172046,-0.157948,-0.051507
0.144183,-0.119959,-0.096588
0.159518,-0.124000,-0.048217
0.167185,-0.126021,-0.024031
0.138672,-0.131323,-0.091360
0.148991,-0.130372,-0.069385
0.169630,-0.128470,-0.025436
0.139106,-0.101585,-0.051275
0.123845,-0.088142,-0.064194
0.180709,-0.123214,-0.008413
0.155480,-0.107375,-0.022158
0.105023,-0.075696,-0.049648
0.138361,-0.110693,-0.021463
0.155031,-0.128191,-0.007371
0.123665,-0.048813,-0.021726
0.122454,-0.079615,-0.013433
0.120034,-0.141219,0.003152
0.136077,-0.072828,-0.003689
0.144098,-0.038633,-0.007110
0.075349,-0.117774,-0.000443
0.096202,-0.099013,-0.003665
0.137909,-0.061491,-0.010108
0.082799,-0.082404,0.003147
0.055244,-0.092861,0.009774
0.142203,-0.071881,0.006877
0.102376,-0.074609,0.002066
0.022722,-0.080065,-0.007557
0.093722,-0.068328,-0.006747
0.129222,-0.062460,-0.006343
0.036643,-0.080060,-0.007376
0.058049,-0.070767,0.000650
0.100862,-0.052180,0.016701
0.042870,-0.075546,-0.006319
0.013875,-0.087229,-0.017830
0.083904,-0.037889,0.021186
0.057963,-0.057205,0.010874
0.006083,-0.095837,-0.009751
0.063243,-0.051032,0.001571
0.091823,-0.028629,0.007231
0.003957,-0.075809,0.007972
0.028146,-0.069017,-0.003448
0.076523,-0.055434,-0.026286
0.032309,-0.050397,0.011889
