joint_0,joint_1,joint_2,joint_3,joint_4,joint_5,joint_6,joint_7,joint_8,joint_9,joint_10,joint_11,joint_12,joint_13,joint_14,joint_15,joint_16,joint_17,joint_18,joint_19,joint_20,joint_21,joint_22,joint_23,joint_24,joint_25,joint_26,joint_27,joint_28
0.200759,0.090777,0.049356,0.162371,-0.045496,-0.011275,0.025975,-0.347304,0.125158,0.418105,0.298735,0.170922,-0.892548,-0.398026,-0.451250,0.265227,-0.579677,0.118842,-0.177114,-0.298527,0.492683,1.232285,-0.289096,-0.002594,0.308007,0.045510,-0.132619,-0.081658,-0.213947
0.203136,0.087303,0.031490,0.167804,-0.048291,-0.010261,0.026619,-0.346434,0.133724,0.416870,0.303543,0.176698,-0.852375,-0.384203,-0.444497,0.262111,-0.605294,0.123652,-0.179253,-0.299236,0.435492,1.219705,-0.295111,-0.021957,0.296841,0.035354,-0.142636,-0.078527,-0.275319
0.205646,0.080241,0.023897,0.170223,-0.052656,-0.013401,0.025280,-0.348903,0.136333,0.409996,0.307942,0.182501,-0.830038,-0.371350,-0.441749,0.268495,-0.628685,0.123318,-0.176920,-0.309314,0.396630,1.209496,-0.265754,-0.031612,0.283959,0.029033,-0.141869,-0.070804,-0.324192
0.207398,0.072278,0.017125,0.172308,-0.057572,-0.017334,0.025409,-0.350747,0.138070,0.403073,0.312070,0.188739,-0.812967,-0.358199,-0.439789,0.275972,-0.653692,0.123051,-0.174656,-0.320279,0.361182,1.199779,-0.225745,-0.040511,0.267485,0.023451,-0.138469,-0.063597,-0.372374
0.207633,0.062515,0.011997,0.173725,-0.063591,-0.022852,0.028475,-0.351345,0.138062,0.396052,0.315655,0.195848,-0.806427,-0.344449,-0.439402,0.285636,-0.681928,0.122919,-0.172528,-0.333018,0.332565,1.191048,-0.164432,-0.047901,0.243826,0.019349,-0.129805,-0.057423,-0.419173
0.207029,0.053240,0.009260,0.174439,-0.069072,-0.027508,0.029610,-0.353269,0.137430,0.390678,0.318511,0.199990,-0.806237,-0.331235,-0.436717,0.295310,-0.708945,0.121567,-0.169449,-0.346871,0.311434,1.184861,-0.087511,-0.053317,0.226819,0.017186,-0.118665,-0.053739,-0.457291
0.206006,0.044209,0.007718,0.174802,-0.074285,-0.031733,0.029779,-0.355854,0.136487,0.386126,0.321002,0.202648,-0.809222,-0.318290,-0.432881,0.304990,-0.735352,0.119604,-0.165894,-0.361281,0.294047,1.179946,-0.002786,-0.057747,0.213139,0.015993,-0.106287,-0.051300,-0.491067
0.204597,0.036965,0.009828,0.176296,-0.075927,-0.034129,0.027225,-0.354800,0.135134,0.382903,0.320048,0.201759,-0.823916,-0.308183,-0.425872,0.315871,-0.760403,0.117682,-0.160170,-0.376321,0.287470,1.179856,0.096825,-0.061967,0.204861,0.015906,-0.092041,-0.046907,-0.520290
0.202961,0.030080,0.013537,0.177838,-0.077630,-0.036908,0.025183,-0.353307,0.133955,0.380176,0.319199,0.200250,-0.843222,-0.299835,-0.419520,0.328001,-0.784907,0.116001,-0.154688,-0.391524,0.286182,1.182114,0.205569,-0.064634,0.196161,0.016319,-0.075278,-0.040001,-0.547931
0.200869,0.023915,0.020448,0.179476,-0.079455,-0.040451,0.024167,-0.350933,0.133126,0.378439,0.318561,0.197503,-0.871754,-0.295001,-0.414486,0.342630,-0.808319,0.114799,-0.149688,-0.407054,0.295474,1.189066,0.332578,-0.064195,0.186618,0.017730,-0.053479,-0.028066,-0.572407
