joint_0_vel,joint_1_vel,joint_2_vel,joint_3_vel,joint_4_vel,joint_5_vel,joint_6_vel,joint_7_vel,joint_8_vel,joint_9_vel,joint_10_vel,joint_11_vel,joint_12_vel,joint_13_vel,joint_14_vel,joint_15_vel,joint_16_vel,joint_17_vel,joint_18_vel,joint_19_vel,joint_20_vel,joint_21_vel,joint_22_vel,joint_23_vel,joint_24_vel,joint_25_vel,joint_26_vel,joint_27_vel,joint_28_vel
0.118840,-0.173733,-0.893336,0.271659,-0.139773,0.050675,0.032188,0.043471,0.428311,-0.061750,0.240393,0.288802,2.008667,0.691177,0.337670,-0.155810,-1.280869,0.240522,-0.106961,-0.035454,-2.859519,-0.628985,-0.300768,-0.968164,-0.558296,-0.507821,-0.500880,0.156551,-3.068614
0.125543,-0.353096,-0.379643,0.120925,-0.218253,-0.157006,-0.066966,-0.123416,0.130462,-0.343706,0.219940,0.290160,1.116849,0.642625,0.137359,0.319176,-1.169567,-0.016721,0.116620,-0.503928,-1.943129,-0.510482,1.467855,-0.482722,-0.644076,-0.316061,0.038364,0.386164,-2.443635
0.087600,-0.398126,-0.338572,0.104237,-0.245810,-0.196637,0.006451,-0.092243,0.086836,-0.346145,0.206380,0.311922,0.853558,0.657581,0.098020,0.373853,-1.250316,-0.013350,0.113218,-0.548255,-1.772377,-0.485831,2.000446,-0.444971,-0.823705,-0.279080,0.169979,0.360342,-2.409089
0.011714,-0.488186,-0.256430,0.070861,-0.300925,-0.275900,0.153283,-0.029899,-0.000417,-0.351023,0.179259,0.355448,0.326977,0.687494,0.019343,0.483209,-1.411815,-0.006609,0.106414,-0.636909,-1.430874,-0.436531,3.065629,-0.369470,-1.182964,-0.205118,0.433210,0.308696,-2.339997
-0.030201,-0.463742,-0.136862,0.035708,-0.274069,-0.232793,0.056751,-0.096158,-0.031572,-0.268740,0.142799,0.207091,0.009511,0.660681,0.134284,0.483730,-1.350844,-0.067617,0.153962,-0.692649,-1.056541,-0.309354,3.846051,-0.270829,-0.850335,-0.108149,0.557000,0.184212,-1.905875
-0.051158,-0.451520,-0.077078,0.018131,-0.260642,-0.211239,0.008485,-0.129288,-0.047150,-0.227599,0.124569,0.132912,-0.149222,0.647274,0.191754,0.483990,-1.320359,-0.098121,0.177737,-0.720518,-0.869375,-0.245765,4.236262,-0.221508,-0.684021,-0.059665,0.618896,0.121970,-1.688814
-0.070438,-0.362236,0.105479,0.074713,-0.082076,-0.119829,-0.127733,0.052704,-0.067668,-0.161105,-0.047715,-0.044492,-0.734700,0.505312,0.350491,0.544031,-1.252536,-0.096081,0.286175,-0.751998,-0.328836,-0.004492,4.980565,-0.210988,-0.413894,-0.004307,0.712304,0.219622,-1.461148
-0.081815,-0.344240,0.185491,0.077103,-0.085142,-0.138934,-0.102089,0.074687,-0.058936,-0.136356,-0.042447,-0.075447,-0.965325,0.417433,0.317565,0.606511,-1.225224,-0.084080,0.274111,-0.760158,-0.064366,0.112875,5.437191,-0.133345,-0.434980,0.020635,0.838184,0.345326,-1.382036
-0.104569,-0.308248,0.345515,0.081882,-0.091275,-0.177145,-0.050801,0.118653,-0.041472,-0.086859,-0.031910,-0.137355,-1.426574,0.241676,0.251714,0.731472,-1.170600,-0.060077,0.249985,-0.776478,0.464573,0.347607,6.350442,0.021941,-0.477152,0.070519,1.089946,0.596734,-1.223813
-0.109704,-0.306969,0.424628,0.036516,-0.072617,-0.174022,-0.056960,0.148069,0.004155,-0.062169,-0.017913,-0.206280,-1.774323,0.171939,0.222055,0.736555,-0.937565,-0.084798,0.276974,-0.749872,0.922978,0.503864,6.451415,0.053115,-0.471088,-0.007639,0.964446,0.508137,-0.819457
-0.112271,-0.306330,0.464184,0.013833,-0.063288,-0.172461,-0.060040,0.162777,0.026969,-0.049824,-0.010914,-0.240743,-1.948197,0.137070,0.207226,0.739096,-0.821047,-0.097158,0.290469,-0.736569,1.152180,0.581993,6.501901,0.068703,-0.468056,-0.046718,0.901696,0.463839,-0.617278
-0.131396,-0.312882,0.294691,0.042030,0.134123,-0.013502,-0.402403,0.440286,0.067273,0.043394,0.079262,-0.346173,-2.101500,-0.192486,0.202689,0.511777,-0.560337,-0.095908,0.296523,-0.453292,1.321622,0.509251,5.800624,-0.100797,0.465652,0.069726,0.579542,0.289471,0.564011
-0.122191,-0.261743,0.232765,0.056765,0.090500,0.047670,-0.398596,0.231396,0.102233,0.065622,0.109688,-0.364107,-2.075431,-0.165463,0.241219,0.431572,-0.496137,-0.111394,0.266090,-0.371848,1.252329,0.494157,5.395836,-0.062500,0.478505,0.079491,0.455252,0.222690,0.472512
-0.103780,-0.159465,0.108913,0.086236,0.003252,0.170015,-0.390982,-0.186384,0.172152,0.110078,0.170539,-0.399975,-2.023294,-0.111416,0.318279,0.271161,-0.367736,-0.142365,0.205224,-0.208960,1.113743,0.463969,4.586259,0.014092,0.504212,0.099022,0.206674,0.089127,0.289514
-0.050633,-0.109128,0.085367,0.019787,-0.064103,0.179855,-0.359879,-0.224787,0.233170,0.082312,0.140831,-0.326743,-1.866171,0.028474,0.206350,0.149000,-0.228541,-0.154287,0.095726,-0.110732,1.067805,0.394331,3.771386,0.124810,0.141828,0.015911,0.183667,-0.037602,0.613338
-0.024060,-0.083960,0.073594,-0.013437,-0.097781,0.184775,-0.344328,-0.243988,0.263679,0.068429,0.125976,-0.290127,-1.787610,0.098419,0.150386,0.087919,-0.158944,-0.160248,0.040977,-0.061617,1.044837,0.359513,3.363950,0.180168,-0.039364,-0.025644,0.172163,-0.100967,0.775250
-0.041108,-0.160280,0.062745,-0.016359,-0.138444,0.119014,-0.193400,-0.195714,0.066302,0.086647,0.302374,0.045208,-0.983502,0.052747,0.037563,0.061286,-0.100349,-0.150953,0.098320,-0.023295,0.934496,0.250307,2.225082,0.233201,-0.488324,-0.030262,0.364924,-0.033758,0.639040
-0.015664,-0.159793,0.094739,-0.030898,-0.106134,0.072786,-0.201878,-0.125666,0.078720,0.064729,0.280875,0.067699,-1.009887,0.080605,0.005290,0.110983,-0.087861,-0.117586,0.077301,-0.009168,1.027215,0.264425,1.996622,0.316936,-0.622024,-0.031692,0.320564,-0.000692,0.752402
0.035225,-0.158820,0.158729,-0.059977,-0.041515,-0.019671,-0.218835,0.014428,0.103557,0.020894,0.237876,0.112683,-1.062659,0.136321,-0.059256,0.210378,-0.062885,-0.050853,0.035263,0.019086,1.212653,0.292661,1.539702,0.484405,-0.889424,-0.034551,0.231843,0.065440,0.979127
0.050926,-0.080881,0.090822,-0.037841,-0.068823,0.098144,-0.160368,-0.212606,0.137051,0.029826,0.187975,0.135339,-0.942510,0.195763,-0.074092,0.084408,-0.014379,-0.024508,-0.018288,0.146100,0.995088,0.307732,1.063375,0.384557,-0.761243,0.005797,0.104380,-0.060465,0.751738
0.058776,-0.041912,0.056869,-0.026772,-0.082477,0.157051,-0.131135,-0.326123,0.153797,0.034292,0.163025,0.146667,-0.882436,0.225484,-0.081511,0.021423,0.009874,-0.011335,-0.045064,0.209607,0.886306,0.315267,0.825212,0.334633,-0.697152,0.025971,0.040648,-0.123417,0.638044
0.061609,0.046646,0.059087,0.008727,-0.036331,0.156652,-0.030681,-0.266992,0.175495,0.131755,0.142660,0.196888,-0.699956,0.155285,-0.055747,0.042201,0.054254,0.037965,-0.090117,0.306811,0.861522,0.343180,0.239242,0.459588,-0.513115,0.078287,0.045841,0.010611,0.822921
0.051216,0.056713,0.049705,0.026372,-0.026706,0.177531,-0.000529,-0.278168,0.189924,0.145715,0.110740,0.224022,-0.607430,0.138763,-0.077106,-0.004918,0.057046,0.058237,-0.064407,0.353761,0.777729,0.323749,0.035062,0.404111,-0.506860,0.063319,0.014242,-0.013470,0.634912
0.030431,0.076846,0.030940,0.061662,-0.007457,0.219287,0.059775,-0.300522,0.218782,0.173635,0.046899,0.278291,-0.422376,0.105718,-0.119825,-0.099156,0.062630,0.098779,-0.012987,0.447661,0.610144,0.284886,-0.373299,0.293155,-0.494351,0.033382,-0.048954,-0.061632,0.258893
0.012570,0.064971,0.001502,0.010521,-0.004110,0.215637,-0.003342,-0.241811,0.186586,0.132488,0.061185,0.260739,-0.214814,0.085871,-0.099968,-0.151702,0.085511,0.131515,-0.054368,0.524362,0.529653,0.287886,-0.881972,0.340916,-0.398693,0.071312,-0.120013,-0.001967,0.314785
0.003639,0.059034,-0.013217,-0.015049,-0.002437,0.213812,-0.034900,-0.212456,0.170487,0.111914,0.068327,0.251964,-0.111033,0.075947,-0.090040,-0.177974,0.096951,0.147883,-0.075059,0.562712,0.489408,0.289385,-1.136309,0.364796,-0.350864,0.090278,-0.155542,0.027865,0.342731
0.097735,0.171164,0.035838,-0.058566,0.023336,0.133886,0.168799,-0.075046,0.219138,0.093074,-0.047719,0.283713,0.254441,0.026118,-0.256120,-0.169259,0.262588,0.109351,-0.098834,0.560952,0.581655,0.213186,-1.572561,0.286774,-0.575953,0.063678,-0.056652,0.210236,0.368995
0.094176,0.184797,-0.007767,-0.094493,-0.010766,0.198862,0.141866,-0.133604,0.216514,0.028968,-0.050159,0.232814,0.469828,-0.052461,-0.252042,-0.314773,0.267749,0.118048,-0.089722,0.665183,0.339909,0.229136,-1.888366,0.166990,-0.210908,0.074267,-0.204883,0.165175,0.184720
0.087059,0.212062,-0.094978,-0.166348,-0.078970,0.328814,0.088001,-0.250719,0.211266,-0.099242,-0.055037,0.131014,0.900600,-0.209619,-0.243885,-0.605800,0.278072,0.135443,-0.071497,0.873645,-0.143584,0.261036,-2.519975,-0.072578,0.519181,0.095445,-0.501346,0.075053,-0.183830
-0.010709,0.175365,-0.075125,-0.159328,0.011391,0.272854,0.041790,-0.025671,0.178916,-0.004092,-0.128552,0.062273,1.157839,-0.321188,-0.265859,-0.579894,0.366834,0.170695,-0.137809,0.855698,-0.205996,0.217019,-2.322469,-0.170901,0.474592,0.121873,-0.307507,0.062351,0.358653
