body_0_w,body_0_x,body_0_y,body_0_z
0.991109,-0.011493,-0.059420,-0.118490
0.991230,-0.011432,-0.059094,-0.117643
0.991352,-0.011394,-0.058710,-0.116814
0.991479,-0.011363,-0.058327,-0.115923
0.991550,-0.011342,-0.057921,-0.115519
0.991510,-0.011343,-0.057469,-0.116088
0.991585,-0.011308,-0.057009,-0.115677
0.991717,-0.011255,-0.056544,-0.114775
0.991773,-0.011331,-0.056233,-0.114441
0.991848,-0.011421,-0.055814,-0.113978
0.991965,-0.011541,-0.055179,-0.113258
0.992085,-0.011594,-0.054609,-0.112475
0.992206,-0.011614,-0.054071,-0.111662
0.992289,-0.011618,-0.053649,-0.111130
0.992378,-0.011645,-0.053162,-0.110563
0.992480,-0.011719,-0.052545,-0.109929
0.992556,-0.011838,-0.051877,-0.109546
0.992619,-0.011979,-0.051183,-0.109290
0.992691,-0.012162,-0.050543,-0.108910
0.992764,-0.012320,-0.049935,-0.108512
0.992837,-0.012428,-0.049389,-0.108078
0.992896,-0.012527,-0.048800,-0.107792
0.992948,-0.012621,-0.048188,-0.107579
0.992953,-0.012721,-0.047610,-0.107781
0.992967,-0.012780,-0.047000,-0.107906
0.993002,-0.012755,-0.046326,-0.107877
0.993055,-0.012777,-0.045664,-0.107675
0.993115,-0.012824,-0.045008,-0.107385
0.993158,-0.012809,-0.044538,-0.107192
0.993211,-0.012805,-0.044116,-0.106875
0.993286,-0.012822,-0.043791,-0.106307
0.993332,-0.012864,-0.043450,-0.106011
0.993364,-0.012918,-0.043100,-0.105850
0.993451,-0.012865,-0.042821,-0.105149
0.993547,-0.012843,-0.042513,-0.104362
0.993662,-0.012882,-0.042149,-0.103405
0.993732,-0.012880,-0.041771,-0.102889
0.993779,-0.012858,-0.041387,-0.102594
0.993820,-0.012853,-0.041019,-0.102339
0.993852,-0.012839,-0.040671,-0.102177
0.993862,-0.012807,-0.040362,-0.102202
0.993895,-0.012760,-0.040127,-0.101980
0.993939,-0.012705,-0.039928,-0.101634
0.993966,-0.012643,-0.039842,-0.101414
0.993989,-0.012616,-0.039775,-0.101215
0.994006,-0.012660,-0.039743,-0.101059
0.994056,-0.012689,-0.039481,-0.100665
0.994122,-0.012710,-0.039103,-0.100153
0.994202,-0.012745,-0.038749,-0.099490
0.994283,-0.012761,-0.038379,-0.098817
0.994368,-0.012741,-0.037978,-0.098123
0.994393,-0.012728,-0.037471,-0.098061
0.994389,-0.012718,-0.036910,-0.098314
0.994437,-0.012743,-0.036352,-0.098032
0.994537,-0.012752,-0.035734,-0.097244
0.994738,-0.012731,-0.034999,-0.095446
0.994861,-0.012786,-0.034190,-0.094439
0.994946,-0.012879,-0.033345,-0.093829
0.995013,-0.012809,-0.032517,-0.093417
0.995066,-0.012767,-0.031716,-0.093135
0.995092,-0.012781,-0.030969,-0.093109
0.995162,-0.012802,-0.030178,-0.092617
0.995253,-0.012827,-0.029364,-0.091890
0.995378,-0.012768,-0.028766,-0.090730
0.995510,-0.012719,-0.028208,-0.089459
0.995657,-0.012687,-0.027730,-0.087965
0.995768,-0.012642,-0.027368,-0.086818
0.995861,-0.012590,-0.027065,-0.085843
0.995926,-0.012478,-0.026708,-0.085221
0.996016,-0.012403,-0.026418,-0.084261
0.996157,-0.012399,-0.026260,-0.082628
0.996250,-0.012390,-0.026048,-0.081575
0.996318,-0.012379,-0.025810,-0.080814
0.996348,-0.012281,-0.025691,-0.080492
0.996401,-0.012156,-0.025562,-0.079899
0.996498,-0.011978,-0.025413,-0.078761
0.996543,-0.011795,-0.025485,-0.078188
0.996563,-0.011609,-0.025667,-0.077898
0.996747,-0.011241,-0.026132,-0.075406
0.996886,-0.010769,-0.026849,-0.073353
0.996946,-0.010090,-0.028069,-0.072177
0.996975,-0.009425,-0.029617,-0.071236
0.996987,-0.008766,-0.031331,-0.070412
0.996980,-0.007688,-0.033650,-0.069561
0.996945,-0.006837,-0.035608,-0.069177
0.996865,-0.006444,-0.036842,-0.069726
0.996773,-0.006400,-0.037817,-0.070511
0.996676,-0.006531,-0.038664,-0.071415
0.996485,-0.006827,-0.038854,-0.073906
0.996221,-0.007270,-0.038830,-0.077353
0.995802,-0.008007,-0.038376,-0.082712
0.995192,-0.008774,-0.037741,-0.089956
0.994438,-0.009556,-0.037013,-0.098139
0.993892,-0.010606,-0.035386,-0.103990
0.993334,-0.011674,-0.033796,-0.109587
0.992795,-0.012780,-0.032284,-0.114683
0.992067,-0.013907,-0.030869,-0.121064
0.991210,-0.015044,-0.029503,-0.128083
0.990778,-0.016365,-0.028125,-0.131528
0.990304,-0.017686,-0.026994,-0.135117
0.989759,-0.019006,-0.026359,-0.138997
0.989346,-0.020475,-0.025910,-0.141791
0.988996,-0.022018,-0.025555,-0.144042
0.988778,-0.024149,-0.024628,-0.145355
0.988557,-0.026023,-0.023921,-0.146649
0.988339,-0.027383,-0.023656,-0.147906
0.988111,-0.028760,-0.023050,-0.149256
0.987876,-0.030146,-0.022275,-0.150653
0.987745,-0.030983,-0.021447,-0.151457
0.987619,-0.031722,-0.020678,-0.152230
0.987506,-0.032268,-0.020026,-0.152938
0.987419,-0.032588,-0.019443,-0.153505
0.987346,-0.032795,-0.018893,-0.154000
0.987339,-0.033046,-0.018456,-0.154045
0.987356,-0.033168,-0.017938,-0.153969
0.987422,-0.033031,-0.017260,-0.153653
0.987570,-0.032899,-0.016696,-0.152792
0.987757,-0.032768,-0.016188,-0.151659
0.988073,-0.032615,-0.015143,-0.149729
0.988350,-0.032431,-0.014256,-0.148018
0.988556,-0.032183,-0.013686,-0.146747
0.988888,-0.031904,-0.013035,-0.144615
0.989277,-0.031610,-0.012343,-0.142052
0.988953,-0.030178,-0.012699,-0.144571
